EID ,key ,direction ,time
0,Key.tab,0,1655822466041218000
1,Key.cmd,1,1655822466132652000
2,Key.tab,1,1655822466133481000
3,'t',0,1655822467590119000
4,'t',1,1655822467736750000
5,'w',0,1655822467751192000
6,'w',1,1655822467829145000
7,Key.enter,0,1655822468332132000
8,Key.enter,1,1655822468402878000
9,Key.shift,0,1655822474280174000
10,'A',0,1655822474422927000
11,Key.shift,1,1655822474542480000
12,'a',1,1655822474554472000
13,'f',0,1655822474606441000
14,'f',1,1655822474689824000
15,'t',0,1655822474697429000
16,'e',0,1655822474705353000
17,'t',1,1655822474789797000
18,'r',0,1655822474833709000
19,'e',1,1655822474877964000
20,Key.space,0,1655822474897350000
21,'r',1,1655822474946882000
22,Key.space,1,1655822474994668000
23,'w',0,1655822475006028000
24,'w',1,1655822475110792000
25,'a',0,1655822475132548000
26,'t',0,1655822475219840000
27,'a',1,1655822475251458000
28,'t',1,1655822475304974000
29,'c',0,1655822475361826000
30,'h',0,1655822475420325000
31,'c',1,1655822475480391000
32,'h',1,1655822475533489000
33,'i',0,1655822475541773000
34,'i',1,1655822475657599000
35,'n',0,1655822475662276000
36,'g',0,1655822475696314000
37,'n',1,1655822475797208000
38,'g',1,1655822475804805000
39,Key.space,0,1655822475814116000
40,'t',0,1655822475844394000
41,Key.space,1,1655822475896113000
42,'t',1,1655822475961836000
43,'h',0,1655822475969126000
44,'i',0,1655822476045660000
45,'h',1,1655822476080324000
46,'s',0,1655822476117228000
47,'i',1,1655822476160524000
48,Key.space,0,1655822476201640000
49,'s',1,1655822476205523000
50,Key.space,1,1655822476372775000
51,'l',0,1655822476681766000
52,'l',1,1655822476773885000
53,Key.backspace,0,1655822476911805000
54,Key.backspace,1,1655822477014340000
55,'c',0,1655822477028059000
56,'c',1,1655822477123928000
57,'l',0,1655822477150943000
58,'l',1,1655822477219327000
59,'i',0,1655822477255193000
60,'i',1,1655822477330702000
61,'p',0,1655822477383239000
62,'p',1,1655822477477802000
63,' ,',0,1655822477569698000
64,' ,',1,1655822477666561000
65,Key.space,0,1655822477755125000
66,Key.space,1,1655822477854356000
67,Key.shift,0,1655822477868253000
68,'I',0,1655822477897278000
69,'I',1,1655822477965353000
70,Key.shift,1,1655822477994861000
71,Key.space,0,1655822478012450000
72,'f',0,1655822478048278000
73,Key.space,1,1655822478112543000
74,'e',0,1655822478156917000
75,'f',1,1655822478157765000
76,'l',0,1655822478250297000
77,'e',1,1655822478288343000
78,'e',0,1655822478304066000
79,'e',1,1655822478321073000
80,'l',1,1655822478340347000
81,'t',0,1655822478354143000
82,Key.space,0,1655822478430615000
83,'t',1,1655822478450345000
84,Key.space,1,1655822478528002000
85,'s',0,1655822478538719000
86,'o',0,1655822478610284000
87,'s',1,1655822478643622000
88,'o',1,1655822478674415000
89,'m',0,1655822478723519000
90,'m',1,1655822478806467000
91,Key.space,0,1655822478875187000
92,Key.space,1,1655822478939486000
93,Key.backspace,0,1655822478960700000
94,Key.backspace,1,1655822479030493000
95,Key.backspace,0,1655822479121304000
96,Key.backspace,1,1655822479174274000
97,Key.backspace,0,1655822479271457000
98,Key.backspace,1,1655822479344910000
99,Key.backspace,0,1655822479425446000
100,Key.backspace,1,1655822479496459000
101,Key.backspace,0,1655822479582337000
102,Key.backspace,1,1655822479652531000
103,Key.backspace,0,1655822479742401000
104,Key.backspace,1,1655822479817604000
105,Key.backspace,0,1655822480055660000
106,Key.backspace,1,1655822480146191000
107,'t',0,1655822480154408000
108,Key.space,0,1655822480239744000
109,'t',1,1655822480256245000
110,Key.space,1,1655822480314595000
111,'b',0,1655822480391441000
112,'b',1,1655822480479380000
113,'o',0,1655822480512061000
114,'o',1,1655822480623804000
115,'t',0,1655822480775564000
116,'h',0,1655822480862244000
117,'t',1,1655822480862955000
118,'h',1,1655822481003565000
119,Key.space,0,1655822481007775000
120,Key.space,1,1655822481114531000
121,'i',0,1655822481654389000
122,'i',1,1655822481754815000
123,'n',0,1655822481774305000
124,'s',0,1655822481785642000
125,'n',1,1655822481850780000
126,'p',0,1655822481913079000
127,'s',1,1655822481917268000
128,'i',0,1655822481966135000
129,'r',0,1655822482021047000
130,'p',1,1655822482050294000
131,'e',0,1655822482095452000
132,'i',1,1655822482105428000
133,'r',1,1655822482141023000
134,'e',1,1655822482265486000
135,Key.backspace,0,1655822482653436000
136,Key.backspace,1,1655822482738409000
137,Key.backspace,0,1655822483820536000
138,Key.backspace,1,1655822483888128000
139,'r',0,1655822484231105000
140,'r',1,1655822484361494000
141,Key.backspace,0,1655822484539415000
142,Key.backspace,1,1655822484623571000
143,Key.backspace,0,1655822484704191000
144,Key.backspace,1,1655822484778065000
145,Key.backspace,0,1655822484862075000
146,Key.backspace,1,1655822484946766000
147,Key.backspace,0,1655822485019258000
148,Key.backspace,1,1655822485087888000
149,Key.backspace,0,1655822485172582000
150,Key.backspace,1,1655822485232830000
151,Key.backspace,0,1655822485654199000
152,Key.backspace,1,1655822485728113000
153,'g',0,1655822485867524000
154,'r',0,1655822485934104000
155,'g',1,1655822485978061000
156,'a',0,1655822486014988000
157,'r',1,1655822486043549000
158,'t',0,1655822486158853000
159,'a',1,1655822486173859000
160,'e',0,1655822486243793000
161,'e',1,1655822486270223000
162,'t',1,1655822486330610000
163,'e',0,1655822486362288000
164,'e',1,1655822486438736000
165,Key.backspace,0,1655822486913094000
166,'f',0,1655822486947970000
167,Key.backspace,1,1655822486964854000
168,'f',1,1655822487036512000
169,'u',0,1655822487073682000
170,'u',1,1655822487146307000
171,'l',0,1655822487255614000
172,'l',1,1655822487352485000
173,Key.space,0,1655822487465411000
174,Key.space,1,1655822487545889000
175,'a',0,1655822487549467000
176,'n',0,1655822487672084000
177,'a',1,1655822487689109000
178,Key.space,0,1655822487788732000
179,'n',1,1655822487793685000
180,'i',0,1655822487878530000
181,Key.space,1,1655822487881643000
182,'i',1,1655822487973934000
183,'n',0,1655822487978079000
184,'n',1,1655822488070333000
185,Key.backspace,0,1655822488244885000
186,Key.backspace,1,1655822488303841000
187,Key.backspace,0,1655822488389272000
188,Key.backspace,1,1655822488448198000
189,Key.backspace,0,1655822488545916000
190,Key.backspace,1,1655822488641672000
191,Key.space,0,1655822489121216000
192,Key.space,1,1655822489236692000
193,Key.backspace,0,1655822489426722000
194,Key.backspace,1,1655822489482260000
195,Key.backspace,0,1655822489602357000
196,Key.backspace,1,1655822489680714000
197,'d',0,1655822489883223000
198,'d',1,1655822489951639000
199,Key.backspace,0,1655822490171030000
200,Key.backspace,1,1655822490243671000
201,'n',0,1655822490352232000
202,'d',0,1655822490419748000
203,'n',1,1655822490435078000
204,'d',1,1655822490514908000
205,Key.space,0,1655822490515381000
206,Key.space,1,1655822490588068000
207,'u',0,1655822490618854000
208,'u',1,1655822490675335000
209,'n',0,1655822490720263000
210,'n',1,1655822490779623000
211,Key.backspace,0,1655822490975201000
212,Key.backspace,1,1655822491039225000
213,Key.backspace,0,1655822491108212000
214,Key.backspace,1,1655822491192242000
215,'i',0,1655822491285269000
216,'i',1,1655822491367056000
217,'n',0,1655822491414977000
218,'s',0,1655822491470036000
219,'n',1,1655822491485811000
220,'p',0,1655822491566599000
221,'s',1,1655822491605946000
222,'i',0,1655822491634366000
223,'r',0,1655822491686495000
224,'p',1,1655822491694132000
225,'i',1,1655822491762769000
226,'e',0,1655822491766592000
227,'r',1,1655822491792134000
228,'d',0,1655822491911683000
229,'e',1,1655822491937897000
230,'.',0,1655822491941928000
231,'d',1,1655822492013698000
232,'.',1,1655822492034866000
233,Key.space,0,1655822492065481000
234,Key.space,1,1655822492169589000
235,Key.shift,0,1655822492602157000
236,'I',0,1655822492978135000
237,'I',1,1655822493040818000
238,Key.shift,1,1655822493080974000
239,Key.space,0,1655822493137383000
240,'f',0,1655822493222221000
241,Key.space,1,1655822493230303000
242,'e',0,1655822493313651000
243,'f',1,1655822493370048000
244,'e',1,1655822493425246000
245,'l',0,1655822493436857000
246,'l',1,1655822493501042000
247,'t',0,1655822493524909000
248,Key.space,0,1655822493610501000
249,'t',1,1655822493612411000
250,Key.space,1,1655822493704483000
251,'g',0,1655822493798917000
252,'g',1,1655822493879306000
253,'a',0,1655822493988974000
254,'a',1,1655822494116796000
255,Key.backspace,0,1655822494407010000
256,'r',0,1655822494507086000
257,Key.backspace,1,1655822494511021000
258,'a',0,1655822494598808000
259,'r',1,1655822494626126000
260,'a',1,1655822494739407000
261,'t',0,1655822494768824000
262,'e',0,1655822494847659000
263,'t',1,1655822494859795000
264,'f',0,1655822495000154000
265,'e',1,1655822495044557000
266,'u',0,1655822495066958000
267,'f',1,1655822495118741000
268,'u',1,1655822495142901000
269,'l',0,1655822495226957000
270,'l',1,1655822495342121000
271,Key.space,0,1655822495364732000
272,Key.space,1,1655822495464976000
273,'s',0,1655822495487572000
274,'s',1,1655822495561018000
275,'i',0,1655822495572302000
276,'i',1,1655822495644563000
277,'n',0,1655822495722250000
278,'c',0,1655822495781731000
279,'n',1,1655822495804601000
280,'e',0,1655822495832677000
281,'c',1,1655822495880758000
282,'e',1,1655822495941213000
283,Key.space,0,1655822495997670000
284,Key.space,1,1655822496095775000
285,Key.shift,0,1655822496104859000
286,'I',0,1655822496129000000
287,Key.shift,1,1655822496152745000
288,Key.space,0,1655822496210315000
289,'i',1,1655822496228673000
290,'w',0,1655822496285168000
291,Key.space,1,1655822496312884000
292,'w',1,1655822496366432000
293,'a',0,1655822496714966000
294,'s',0,1655822496810892000
295,'a',1,1655822496888389000
296,Key.space,0,1655822496914767000
297,'s',1,1655822496929982000
298,Key.space,1,1655822497030078000
299,Key.backspace,0,1655822497298861000
300,Key.backspace,1,1655822497383335000
301,Key.space,0,1655822497740885000
302,Key.space,1,1655822497852837000
303,'a',0,1655822497856805000
304,'a',1,1655822497965439000
305,'b',0,1655822498046708000
306,'b',1,1655822498106625000
307,Key.backspace,0,1655822498454969000
308,Key.backspace,1,1655822498560162000
309,Key.backspace,0,1655822498646277000
310,Key.backspace,1,1655822498755325000
311,Key.backspace,0,1655822500604717000
312,Key.backspace,1,1655822500712984000
313,Key.backspace,0,1655822500803600000
314,Key.backspace,1,1655822500878822000
315,Key.backspace,0,1655822500966371000
316,Key.backspace,1,1655822501023861000
317,Key.backspace,0,1655822501117241000
318,Key.backspace,1,1655822501191934000
319,'f',0,1655822501394840000
320,'f',1,1655822501519263000
321,'e',0,1655822501629660000
322,'e',1,1655822501663624000
323,'e',0,1655822501766083000
324,'e',1,1655822501860880000
325,'l',0,1655822501883906000
326,'l',1,1655822501956747000
327,Key.space,0,1655822502015503000
328,'l',0,1655822502123738000
329,Key.space,1,1655822502124797000
330,'i',0,1655822502275750000
331,'l',1,1655822502282952000
332,'i',1,1655822502335096000
333,'k',0,1655822502412591000
334,'e',0,1655822502431543000
335,'k',1,1655822502491798000
336,'e',1,1655822502512608000
337,Key.space,0,1655822502548620000
338,Key.space,1,1655822502619731000
339,Key.shift,0,1655822502624457000
340,'I',0,1655822502683316000
341,Key.shift,1,1655822502763642000
342,Key.space,0,1655822502767764000
343,'i',1,1655822502815775000
344,'w',0,1655822502823175000
345,Key.space,1,1655822502867432000
346,'w',1,1655822502884305000
347,'s',0,1655822503015282000
348,Key.space,0,1655822503093616000
349,'s',1,1655822503128081000
350,Key.space,1,1655822503158633000
351,'b',0,1655822503235724000
352,'b',1,1655822503310961000
353,'l',0,1655822503360364000
354,'l',1,1655822503418279000
355,'e',0,1655822503814635000
356,'e',1,1655822503926766000
357,'s',0,1655822504180960000
358,'s',1,1655822504273957000
359,'s',0,1655822504350105000
360,'s',1,1655822504437835000
361,'e',0,1655822504525577000
362,'d',0,1655822504607039000
363,'e',1,1655822504637436000
364,'d',1,1655822504694617000
365,Key.space,0,1655822504695849000
366,Key.space,1,1655822504766557000
367,'t',0,1655822504824980000
368,'t',1,1655822504911266000
369,'o',0,1655822504915089000
370,Key.space,0,1655822504968741000
371,'o',1,1655822505015133000
372,Key.space,1,1655822505048640000
373,'h',0,1655822505239774000
374,'h',1,1655822505335643000
375,'a',0,1655822505340335000
376,'a',1,1655822505427948000
377,'e',0,1655822505484589000
378,'e',1,1655822505579782000
379,Key.backspace,0,1655822505856922000
380,Key.backspace,1,1655822505891643000
381,'v',0,1655822506066722000
382,'v',1,1655822506156890000
383,'e',0,1655822506234595000
384,'e',1,1655822506331532000
385,Key.space,0,1655822506337248000
386,Key.space,1,1655822506429728000
387,'r',0,1655822506793464000
388,'o',0,1655822506909343000
389,'r',1,1655822506912971000
390,'o',1,1655822507025632000
391,'l',0,1655822507092676000
392,'e',0,1655822507121443000
393,'l',1,1655822507180122000
394,'e',1,1655822507249438000
395,'d',0,1655822507256491000
396,Key.space,0,1655822507353638000
397,'d',1,1655822507380212000
398,Key.space,1,1655822507420598000
399,'m',0,1655822507476509000
400,'m',1,1655822507552508000
401,'o',0,1655822507602571000
402,'s',0,1655822507685308000
403,'o',1,1655822507710178000
404,'s',1,1655822507794803000
405,Key.backspace,0,1655822507957084000
406,Key.backspace,1,1655822508025553000
407,Key.backspace,0,1655822508115238000
408,Key.backspace,1,1655822508191419000
409,Key.backspace,0,1655822508278272000
410,Key.backspace,1,1655822508352367000
411,Key.backspace,0,1655822508434508000
412,Key.backspace,1,1655822508517225000
413,Key.backspace,0,1655822508593457000
414,Key.backspace,1,1655822508677019000
415,Key.backspace,0,1655822508753508000
416,Key.backspace,1,1655822508801369000
417,Key.backspace,0,1655822508899321000
418,Key.backspace,1,1655822508951643000
419,'e',0,1655822509063321000
420,'e',1,1655822509141036000
421,Key.space,0,1655822509146452000
422,Key.space,1,1655822509235607000
423,'m',0,1655822509546820000
424,'m',1,1655822509635687000
425,'o',0,1655822509699304000
426,'o',1,1655822509800820000
427,'e',0,1655822509949587000
428,'e',1,1655822510092996000
429,'l',0,1655822510164188000
430,'l',1,1655822510199768000
431,Key.backspace,0,1655822510491841000
432,Key.backspace,1,1655822510551145000
433,Key.backspace,0,1655822510634325000
434,'d',0,1655822510672981000
435,Key.backspace,1,1655822510712986000
436,'e',0,1655822510740956000
437,'d',1,1655822510809664000
438,'e',1,1655822510853917000
439,'l',0,1655822510907292000
440,'l',1,1655822510997410000
441,'s',0,1655822510997947000
442,'s',1,1655822511062160000
443,Key.space,0,1655822511128221000
444,Key.space,1,1655822511211505000
445,'t',0,1655822511284058000
446,'t',1,1655822511357060000
447,'h',0,1655822511359196000
448,'h',1,1655822511443211000
449,'a',0,1655822511501411000
450,'a',1,1655822511624348000
451,'t',0,1655822512402462000
452,Key.space,0,1655822512506892000
453,'t',1,1655822512517368000
454,Key.space,1,1655822512593759000
455,'g',0,1655822512778882000
456,'g',1,1655822512851529000
457,'a',0,1655822512907086000
458,'a',1,1655822512975113000
459,'v',0,1655822512976341000
460,'e',0,1655822513051511000
461,'v',1,1655822513056864000
462,'e',1,1655822513163475000
463,Key.space,0,1655822513186205000
464,'s',0,1655822513275588000
465,Key.space,1,1655822513281021000
466,'i',0,1655822513352942000
467,'s',1,1655822513398207000
468,'i',1,1655822513442486000
469,'m',0,1655822513516268000
470,'m',1,1655822513588547000
471,'i',0,1655822513607248000
472,'i',1,1655822513703604000
473,'l',0,1655822513782149000
474,'a',0,1655822513874314000
475,'l',1,1655822513881597000
476,'r',0,1655822513958245000
477,'a',1,1655822513992898000
478,'r',1,1655822514062423000
479,Key.space,0,1655822514063586000
480,Key.space,1,1655822514146821000
481,'a',0,1655822514202776000
482,'a',1,1655822514299825000
483,'d',0,1655822514428577000
484,'d',1,1655822514545218000
485,'v',0,1655822515074401000
486,'v',1,1655822515149821000
487,'i',0,1655822515179239000
488,'i',1,1655822515273473000
489,'c',0,1655822515280984000
490,'e',0,1655822515358146000
491,'c',1,1655822515392802000
492,Key.space,0,1655822515476311000
493,'e',1,1655822515488784000
494,Key.space,1,1655822515558387000
495,'t',0,1655822515604088000
496,'o',0,1655822515647966000
497,'t',1,1655822515721708000
498,Key.space,0,1655822515728709000
499,'o',1,1655822515751875000
500,Key.space,1,1655822515796183000
501,'m',0,1655822515880190000
502,'e',0,1655822515919958000
503,'m',1,1655822515951735000
504,'e',1,1655822515997210000
505,Key.space,0,1655822516023830000
506,'a',0,1655822516090676000
507,Key.space,1,1655822516102786000
508,'s',0,1655822516132157000
509,'a',1,1655822516226686000
510,Key.space,0,1655822516230758000
511,'s',1,1655822516266918000
512,Key.space,1,1655822516316545000
513,'t',0,1655822516364683000
514,'h',0,1655822516412993000
515,'e',0,1655822516493400000
516,'t',1,1655822516502631000
517,'h',1,1655822516524634000
518,Key.space,0,1655822516573528000
519,'e',1,1655822516601273000
520,Key.space,1,1655822516658317000
521,'c',0,1655822516680257000
522,'o',0,1655822516735849000
523,'c',1,1655822516812682000
524,'a',0,1655822516861159000
525,'o',1,1655822516868034000
