ID,KHT_Mean,KHT_Median,KHT_Mode,KHT_Stdev,KIT_F1_Mean,KIT_F1_Median,KIT_F1_Mode,KIT_F1_Stdev,KIT_F2_Mean,KIT_F2_Median,KIT_F2_Mode,KIT_F2_Stdev,KIT_F3_Mean,KIT_F3_Median,KIT_F3_Mode,KIT_F3_Stdev,KIT_F4_Mean,KIT_F4_Median,KIT_F4_Mode,KIT_F4_Stdev, Target
12,253863264197752.03,1728079600000.0,0,298383308117376.8,-253712815651989.0,-1727982946048.0,6245506048,298357949908017.2,8727939.875479745,0.0,0,53035595885453.98,258705801284.4486,143693056.0,169716992,12447872792171.918,253971530181213.34,1728184491008.0,6245506048,298400845925839.5,0
13,1475826600021.452,1329378199936.0,0,1100072423691.1729,-1475017291934.8884,-1329218541056.0,2696876032,1099747218600.7166,7212785.534043538,0.0,0,237046491630.32944,1492877609.5006948,193865984.0,170951936,20090135803.69385,1476517382329.923,1329164923904.0,2696876032,1099839047367.4792,0
14,1370512681374.6106,1510947804928.0,0,988967494587.1869,-1369385304181.0427,-1490200893440.0,3548838912,988336586530.8545,14649833.919584954,0.0,0,261267088048.93634,2016166221.6964982,219916032.0,163066112,25576545172.42703,1371416120236.659,1513370530048.0,3548838912,988618153075.9083,0
15,349046301758196.44,432904592305152.0,0,171155848063978.84,-349029071907905.3,-432904370277120.0,0,171168794371087.9,36465440.46376812,0.0,0,62606813433447.45,87488767714.21577,151677440.0,101093120,6118030889189.865,349116597141060.0,432904628896000.0,174535591168,171101308590386.2,0
16,830092765627.2478,819720200960.0,0,534713397718.2492,-829572930217.2444,-819477502976.0,2683780096,534546132272.82434,9678390.933333334,0.0,0,64128122572.99482,1096288719.4666667,147164928.0,143252992,14672174417.247465,830678897327.6444,820040968064.0,2683780096,534433193883.38293,0
17,1357143406192.307,1458562308992.0,0,967653595540.2871,-1356501310371.4043,-1458182158080.0,0,967361799809.0055,4811451.327492699,0.0,0,239930987882.1032,1208279970.3362536,115792128.0,72230912,19665402642.654053,1357714401793.068,1459040366080.0,2618659840,967436642411.2249,0
18,791044174353.2463,824603479040.0,0,510029576206.6156,-790530846536.0898,-821596570112.0,3566693888,509860902313.1774,11211782.29213483,0.0,0,123360428180.35086,1068836366.5617977,181808000.0,103698176,13332015349.197618,791610894684.9438,834443241088.0,3566693888,509753419696.5644,0
19,1789535372036.783,1614936152960.0,0,1371333540234.4563,-1788535462963.838,-1614863271936.0,0,1370836846599.1926,409588.8348909657,0.0,0,460982484805.6145,1796320008.4307966,129305856.0,116111872,32248311821.598743,1790332192561.1038,1615033093888.0,112401152,1371073563120.4111,0
20,758211104323.2124,762081482624.0,0,661400511447.0143,-757255303312.6957,-762023415040.0,1899258112,661027393661.6803,16816027.08405797,0.0,0,181007106429.57346,1688372125.804831,134316032.0,1899258112,24667591219.18138,758960491465.5846,762171097088.0,1899258112,661272320583.3628,0
21,1161353604443.0715,1300258586112.0,0,715328149634.4163,-1160612898274.7322,-1284792556544.0,4207850240,715075923076.2466,5698711.340086831,0.0,0,147168987843.57324,1581048863.3053546,164175488.0,264086016,19896904223.233055,1162199645849.3777,1300645997952.0,4207850240,714881922429.8843,0
