6196,Key.cmd,0,1651587173030219000
6197,Key.tab,0,1651587173476316000
6198,Key.tab,1,1651587173620200000
6199,Key.cmd,1,1651587173768685000
6200,<0>,1,1651587174025125000
6201,'f',0,1651587175173528000
6202,'f',1,1651587175272290000
6203,'s',0,1651587175307095000
6204,'s',1,1651587175352481000
6205,'a',0,1651587175366911000
6206,'a',1,1651587175406391000
6207,Key.backspace,0,1651587175871093000
6208,Key.backspace,1,1651587175987381000
6209,Key.backspace,0,1651587176066071000
6210,Key.backspace,1,1651587176165108000
6211,'a',0,1651587176268088000
6212,'a',1,1651587176428570000
6213,'c',0,1651587176558987000
6214,'e',0,1651587176659009000
6215,'c',1,1651587176662963000
6216,'e',1,1651587176791391000
6217,'b',0,1651587177057902000
6218,'b',1,1651587177141089000
6219,'o',0,1651587177268058000
6220,'o',1,1651587177360290000
6221,'o',0,1651587177429391000
6222,'k',0,1651587177549114000
6223,'o',1,1651587177619923000
6224,'k',1,1651587177677949000
6225,Key.right,0,1651587178792189000
6226,Key.right,1,1651587178936240000
6227,Key.enter,0,1651587179116975000
6228,Key.enter,1,1651587179213840000
6229,'f',0,1651587182396047000
6230,'f',1,1651587182527646000
6231,'p',0,1651587183505736000
6232,'p',1,1651587183581957000
6233,'d',0,1651587183812589000
6234,'d',1,1651587183929232000
6235,'1',0,1651587184141870000
6236,'1',1,1651587184302179000
6237,'s',0,1651587188284789000
6238,'s',1,1651587188440965000
6239,'o',0,1651587188474704000
6240,'o',1,1651587188575141000
6241,'c',0,1651587188590498000
6242,'i',0,1651587188725762000
6243,'c',1,1651587188749250000
6244,'i',1,1651587188818473000
6245,'a',0,1651587188826533000
6246,'l',0,1651587188949769000
6247,'a',1,1651587188989356000
6248,'l',1,1651587189066031000
6249,Key.shift_r,0,1651587189619800000
6250,'@',0,1651587190018761000
6251,'@',1,1651587190149756000
6252,Key.shift_r,1,1651587190498697000
6253,'g',0,1651587191514726000
6254,'g',1,1651587191607005000
6255,'m',0,1651587191737718000
6256,'a',0,1651587191837672000
6257,'m',1,1651587191865696000
6258,'a',1,1651587191934974000
6259,'i',0,1651587192001686000
6260,'i',1,1651587192097969000
6261,'l',0,1651587192192474000
6262,'l',1,1651587192288914000
6263,'.',0,1651587192389751000
6264,'.',1,1651587192505885000
6265,'c',0,1651587192555504000
6266,'c',1,1651587192667949000
6267,'o',0,1651587192689365000
6268,'m',0,1651587192805802000
6269,'o',1,1651587192854527000
6270,'m',1,1651587192937843000
6271,Key.enter,0,1651587193447792000
6272,Key.enter,1,1651587193566700000
6273,Key.shift_r,0,1651587201233375000
6274,Key.shift_r,1,1651587201981447000
6275,Key.shift_r,0,1651587205931406000
6276,Key.shift_r,1,1651587206139856000
6277,Key.shift_r,0,1651587206971567000
6278,Key.shift_r,1,1651587207299774000
6279,Key.shift_r,0,1651587261413482000
6280,Key.shift_r,1,1651587261818612000
